"States, district, & territories
","Obesity rank
","Obese adults (mid-2000s)
",Obese adults (2020),"Overweight (incl. obese) adults(mid-2000s)
",Obese children and adolescents(mid-2000s)
Alabama,5,30.1%,36.3%,65.4%,16.7%
Alaska,9,27.3%,34.2%,64.5%,11.1%
Arizona,30,23.3%,29.5%,59.5%,12.2%
Arkansas,7,28.1%,35.0%,64.7%,16.4%
California,48,23.1%,25.1%,59.4%,13.2%
Colorado,51,21.0%,22.6%,55.0%,9.9%
Connecticut,42,20.8%,26.9%,58.7%,12.3%
Delaware,23,25.9%,31.8%,63.9%,22.8%
District of Columbia,50,22.1%,23.0%,55.0%,14.8%
Florida,35,23.3%,28.4%,60.8%,14.4%
 Georgia,24,27.5%,31.6%,63.3%,16.4%
Hawaii,49,20.7%,23.8%,55.3%,13.3%
Idaho,32,24.6%,29.3%,61.4%,10.1%
Illinois,27,25.3%,31.1%,61.8%,15.8%
Indiana,12,27.5%,33.6%,62.8%,15.6%
Iowa,4,26.3%,36.4%,63.4%,12.5%
Kansas,18,25.8%,32.4%,62.3%,14.0%
Kentucky,8,28.4%,34.3%,66.8%,20.6%
Louisiana,6,29.5%,36.2%,64.2%,17.2%
Maine,33,23.7%,29.1%,60.8%,12.7%
Maryland,26,25.2%,31.3%,61.5%,13.3%
Massachusetts,44,20.9%,25.9%,56.8%,13.6%
Michigan,19,27.7%,32.3%,63.9%,14.5%
Minnesota,35,24.8%,28.4%,61.9%,10.1%
Mississippi,2,34.4%,37.3%,67.4%,17.8%
Missouri,17,27.4%,32.5%,63.3%,15.6%
Montana,46,21.7%,25.3%,59.6%,11.1%
Nebraska,15,26.5%,32.8%,63.9%,11.9%
Nevada,43,23.6%,26.7%,61.8%,12.4%
New Hampshire,38,23.6%,28.1%,60.8%,12.9%
New Jersey,41,22.9%,27.3%,60.5%,13.7%
New Mexico,35,23.3%,28.4%,60.3%,16.8%
New York,45,23.5%,25.7%,60.0%,15.3%
North Carolina,20,27.1%,32.1%,63.4%,19.3%
North Dakota,13,25.9%,33.2%,64.5%,12.1%
Ohio,11,26.9%,33.8%,63.3%,14.2%
Oklahoma,3,28.1%,36.5%,64.2%,15.4%
Oregon,31,25.0%,29.4%,60.8%,14.1%
Pennsylvania,24,25.7%,31.6%,61.9%,13.3%
Rhode Island,29,21.4%,30.0%,60.4%,11.9%
South Carolina,10,29.2%,34.1%,65.1%,18.9%
South Dakota,22,26.1%,31.9%,64.2%,12.1%
Tennessee,15,29.0%,32.8%,65.0%,20.0%
Texas,14,27.2%,33.0%,64.1%,19.1%
Utah,46,21.8%,25.3%,56.4%,8.5%
Vermont,40,21.1%,27.6%,56.9%,11.3%
Virginia,28,25.2%,30.1%,61.6%,13.8%
Washington,39,24.5%,27.7%,60.7%,10.8%
West Virginia,1,30.6%,38.1%,66.8%,20.9%
Wisconsin,21,25.5%,32.0%,62.4%,13.5%
Wyoming,34,24.0%,28.8%,61.7%,8.7%
